Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;"120-125 Крачный";120-125;Крачный;0.0;0;5;;"108 045";2;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;"120-125 Синий";120-125;Синий;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;125-130;125-130;;0.0;0;5;;"108 045";0;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;130-135;130-135;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;140-146;140-146;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";"Костюм танкиста";1940.00;kostyum-tankista108;1;0;0;0;Вестифика;152-158;152-158;;0.0;0;5;;"108 045";;шт;2;"Купить Костюм танкиста | военная форма";"Костюм танкиста, Вестифика, Для мальчиков, Униформа, Военная форма";"Комплектация: комбинезон, шлем, пояс.Ткани: габардин (100% полиэстер).";;"<p><span style=""font-size: medium;"">Комплектация: комбинезон, шлем, пояс.</span></p>
<p><span style=""font-size: medium;"">Ткани: габардин (100% полиэстер).</span></p>";"kostyum-tankista.jpg, kostyum-tankista-1.jpg, kostyum-tankista-2.jpg";0.7;0.009
"Костюмы для детей/Школа# Костюмы для детей/Униформа# Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Сказки и Кино/Для мальчиков# Костюмы для детей/Костюмы на новый год/Для мальчиков";"Костюм художника";2320.00;kostyum-hudozhnika1237;1;;0;;Масочка;115-125;;;0.0;0;2;;ПР-1237;;;2;"Костюм художника для мальчика купить на праздник";"Костюм художника, Алла, Школа";"В карнавальный костюм Художника входит: штаны, рубашка, головной убор, жилет. Материалы: креп-сатин, велюр.";;"<p><span style=""font-size: medium;"">В&nbsp;карнавальный костюм Художника&nbsp;входит: штаны, рубашка, головной убор, жилет.</span><br /><span style=""font-size: medium;"">Материалы: креп-сатин, велюр.</span></p>";"1237.jpg, 1237-4.jpg, 1237-2.jpg, 1237-1.jpg, 1237-3.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;28;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;30;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;32;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;34;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;36;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;38;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа";"Костюм Танкиста";1485.00;kostyum-tankista;1;;;;Батик;40;;;0.0;0;0;;8014;0;;2;"Купить костюм Танкиста детский с доставкой";"Костюм Танкиста, Батик, Профессии";"Ткань: полиэстер.Состав: комбинезон, шлем, ремень.";;"<p><span style=""font-size: medium;"">Состав: комбинезон, шлем, ремень.</span></p><p><span style=""font-size: medium;"">Ткань: полиэстер.</span></p>";8014c.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;28(110см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;30(116см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;32(122см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;32(128см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;34(134см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;34(140см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;36(146см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;38(152см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для мальчика";1499.00;voennyj-kostyum-dlya-malchika;1;;;;Батик;40(158см);;;0.0;0;1;1840.00;8008;;;2;"купить костюм солдата детский | военные костюмы";"Военный костюм для мальчика, ТД Батик, Для мальчиков";"Ткань: Текстиль. Состав: Гимнастерка, брюки, пилотка и ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, брюки, пилотка и ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;"">Цвет ткани костюмов может отличаться от цвета на фото.</span></p>";"8008.jpg, 8008-1.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Военная форма# Костюмы для детей/Униформа";"Костюм моряка";1970.00;kostyum-moryaka126;1;;;;Балаган;122-128;;;0.0;0;0;;ДС126;;;2;"Костюм моряка для мальчика | костюм матроса детский";"Костюм моряка, Балаган, Для мальчиков, Униформа";"Состав: штаны, рубашка, бескозырка.Ткань: крепсатин, габардин, кожзам.";;"<p><span style=""font-size: medium;"">Состав: штаны, рубашка, бескозырка.</span></p><p><span style=""font-size: medium;"">Ткань: крепсатин, габардин, кожзам.</span></p>";"ds126.jpg, ds126-1.jpg, ds126-2.jpg, ds126-3.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Военная форма# Костюмы для детей/Униформа";"Костюм моряка";1970.00;kostyum-moryaka126;1;;;;Балаган;134-140;;;0.0;0;0;;ДС126;;;2;"Костюм моряка для мальчика | костюм матроса детский";"Костюм моряка, Балаган, Для мальчиков, Униформа";"Состав: штаны, рубашка, бескозырка.Ткань: крепсатин, габардин, кожзам.";;"<p><span style=""font-size: medium;"">Состав: штаны, рубашка, бескозырка.</span></p><p><span style=""font-size: medium;"">Ткань: крепсатин, габардин, кожзам.</span></p>";"ds126.jpg, ds126-1.jpg, ds126-2.jpg, ds126-3.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Военная форма# Костюмы для детей/Униформа";"Костюм моряка";1970.00;kostyum-moryaka126;1;;;;Балаган;146-152;;;0.0;0;0;;ДС126;;;2;"Костюм моряка для мальчика | костюм матроса детский";"Костюм моряка, Балаган, Для мальчиков, Униформа";"Состав: штаны, рубашка, бескозырка.Ткань: крепсатин, габардин, кожзам.";;"<p><span style=""font-size: medium;"">Состав: штаны, рубашка, бескозырка.</span></p><p><span style=""font-size: medium;"">Ткань: крепсатин, габардин, кожзам.</span></p>";"ds126.jpg, ds126-1.jpg, ds126-2.jpg, ds126-3.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для девочки";1499.00;voennyj-kostyum-dlya-devochki;1;;;;Батик;28(110см);;;0.0;0;0;1840.00;8009;;;2;"Купить военный костюм | костюм солдатки";"Военный костюм для девочки, ТД Батик, Для девочек";"Ткань: Текстиль. Состав: Гимнастерка, юбка, пилотка, ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, юбка, пилотка, ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;""><span>Цвет ткани костюмов может отличаться от цвета на фото.</span></span></p><p><span style=""font-size: medium;""><span><br /></span></span></p><p></p><ul><li><span style=""font-size: medium;"">&nbsp;Гимнастерка и пилотка &ndash; вот, девчушка патриотка,</span></li><li><span style=""font-size: medium;"">На ремне звезда горит, юбка ладненько сидит.</span></li><li><span style=""font-size: medium;"">Праздник скоро &ndash; День победы. За страну сражались деды,</span></li><li><span style=""font-size: medium;"">Чтоб светило солнце ей, гарью не несло с полей.</span></li><li><span style=""font-size: medium;"">Приготовилась к параду - будет с папой, мамой рядом</span></li><li><span style=""font-size: medium;"">Наблюдать, как в строй солдаты стали, как отцы когда-то.</span></li><li><span style=""font-size: medium;"">И пойдет под звуки марша, будто выше став и старше.</span></li><li><span style=""font-size: medium;"">А потом букет тюльпанов вручит ветеранам старым.</span></li><li><span style=""font-size: medium;"">Им напомнит кроха эта, тяжко как далась победа,</span></li><li><span style=""font-size: medium;"">Или, может, лазареты, и сестер, что рядом нету&hellip;</span></li><li><span style=""font-size: medium;"">В постановке школьной снова для участия готова,</span></li><li><span style=""font-size: medium;"">Этот ей костюм поможет быть на воина похожей.</span></li><li><span style=""font-size: medium;"">И в День защитника он нужен &ndash; аккуратен, отутюжен,</span></li><li><span style=""font-size: medium;"">Чтоб поздравить с мамой вместе папочку военной песней!</span></li></ul><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p><span style=""font-size: medium;""><span><br /></span></span></p>";"8009.jpg, 8009-1.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для девочки";1499.00;voennyj-kostyum-dlya-devochki;1;;;;Батик;30(116см);;;0.0;0;0;1840.00;8009;;;2;"Купить военный костюм | костюм солдатки";"Военный костюм для девочки, ТД Батик, Для девочек";"Ткань: Текстиль. Состав: Гимнастерка, юбка, пилотка, ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, юбка, пилотка, ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;""><span>Цвет ткани костюмов может отличаться от цвета на фото.</span></span></p><p><span style=""font-size: medium;""><span><br /></span></span></p><p></p><ul><li><span style=""font-size: medium;"">&nbsp;Гимнастерка и пилотка &ndash; вот, девчушка патриотка,</span></li><li><span style=""font-size: medium;"">На ремне звезда горит, юбка ладненько сидит.</span></li><li><span style=""font-size: medium;"">Праздник скоро &ndash; День победы. За страну сражались деды,</span></li><li><span style=""font-size: medium;"">Чтоб светило солнце ей, гарью не несло с полей.</span></li><li><span style=""font-size: medium;"">Приготовилась к параду - будет с папой, мамой рядом</span></li><li><span style=""font-size: medium;"">Наблюдать, как в строй солдаты стали, как отцы когда-то.</span></li><li><span style=""font-size: medium;"">И пойдет под звуки марша, будто выше став и старше.</span></li><li><span style=""font-size: medium;"">А потом букет тюльпанов вручит ветеранам старым.</span></li><li><span style=""font-size: medium;"">Им напомнит кроха эта, тяжко как далась победа,</span></li><li><span style=""font-size: medium;"">Или, может, лазареты, и сестер, что рядом нету&hellip;</span></li><li><span style=""font-size: medium;"">В постановке школьной снова для участия готова,</span></li><li><span style=""font-size: medium;"">Этот ей костюм поможет быть на воина похожей.</span></li><li><span style=""font-size: medium;"">И в День защитника он нужен &ndash; аккуратен, отутюжен,</span></li><li><span style=""font-size: medium;"">Чтоб поздравить с мамой вместе папочку военной песней!</span></li></ul><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p><span style=""font-size: medium;""><span><br /></span></span></p>";"8009.jpg, 8009-1.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для девочки";1499.00;voennyj-kostyum-dlya-devochki;1;;;;Батик;32(122см);;;0.0;0;0;1840.00;8009;;;2;"Купить военный костюм | костюм солдатки";"Военный костюм для девочки, ТД Батик, Для девочек";"Ткань: Текстиль. Состав: Гимнастерка, юбка, пилотка, ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, юбка, пилотка, ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;""><span>Цвет ткани костюмов может отличаться от цвета на фото.</span></span></p><p><span style=""font-size: medium;""><span><br /></span></span></p><p></p><ul><li><span style=""font-size: medium;"">&nbsp;Гимнастерка и пилотка &ndash; вот, девчушка патриотка,</span></li><li><span style=""font-size: medium;"">На ремне звезда горит, юбка ладненько сидит.</span></li><li><span style=""font-size: medium;"">Праздник скоро &ndash; День победы. За страну сражались деды,</span></li><li><span style=""font-size: medium;"">Чтоб светило солнце ей, гарью не несло с полей.</span></li><li><span style=""font-size: medium;"">Приготовилась к параду - будет с папой, мамой рядом</span></li><li><span style=""font-size: medium;"">Наблюдать, как в строй солдаты стали, как отцы когда-то.</span></li><li><span style=""font-size: medium;"">И пойдет под звуки марша, будто выше став и старше.</span></li><li><span style=""font-size: medium;"">А потом букет тюльпанов вручит ветеранам старым.</span></li><li><span style=""font-size: medium;"">Им напомнит кроха эта, тяжко как далась победа,</span></li><li><span style=""font-size: medium;"">Или, может, лазареты, и сестер, что рядом нету&hellip;</span></li><li><span style=""font-size: medium;"">В постановке школьной снова для участия готова,</span></li><li><span style=""font-size: medium;"">Этот ей костюм поможет быть на воина похожей.</span></li><li><span style=""font-size: medium;"">И в День защитника он нужен &ndash; аккуратен, отутюжен,</span></li><li><span style=""font-size: medium;"">Чтоб поздравить с мамой вместе папочку военной песней!</span></li></ul><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p><span style=""font-size: medium;""><span><br /></span></span></p>";"8009.jpg, 8009-1.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма# Распродажа";"Военный костюм для девочки";1499.00;voennyj-kostyum-dlya-devochki;1;;;;Батик;32(128см);;;0.0;0;0;1840.00;8009;;;2;"Купить военный костюм | костюм солдатки";"Военный костюм для девочки, ТД Батик, Для девочек";"Ткань: Текстиль. Состав: Гимнастерка, юбка, пилотка, ремень.";;"<p><span style=""font-size: medium;"">Ткань: Текстиль.</span><br /><span style=""font-size: medium;"">Состав: Гимнастерка, юбка, пилотка, ремень.</span></p><p><span style=""font-size: medium;""><br /></span></p><p><span style=""font-size: medium;""><span>Цвет ткани костюмов может отличаться от цвета на фото.</span></span></p><p><span style=""font-size: medium;""><span><br /></span></span></p><p></p><ul><li><span style=""font-size: medium;"">&nbsp;Гимнастерка и пилотка &ndash; вот, девчушка патриотка,</span></li><li><span style=""font-size: medium;"">На ремне звезда горит, юбка ладненько сидит.</span></li><li><span style=""font-size: medium;"">Праздник скоро &ndash; День победы. За страну сражались деды,</span></li><li><span style=""font-size: medium;"">Чтоб светило солнце ей, гарью не несло с полей.</span></li><li><span style=""font-size: medium;"">Приготовилась к параду - будет с папой, мамой рядом</span></li><li><span style=""font-size: medium;"">Наблюдать, как в строй солдаты стали, как отцы когда-то.</span></li><li><span style=""font-size: medium;"">И пойдет под звуки марша, будто выше став и старше.</span></li><li><span style=""font-size: medium;"">А потом букет тюльпанов вручит ветеранам старым.</span></li><li><span style=""font-size: medium;"">Им напомнит кроха эта, тяжко как далась победа,</span></li><li><span style=""font-size: medium;"">Или, может, лазареты, и сестер, что рядом нету&hellip;</span></li><li><span style=""font-size: medium;"">В постановке школьной снова для участия готова,</span></li><li><span style=""font-size: medium;"">Этот ей костюм поможет быть на воина похожей.</span></li><li><span style=""font-size: medium;"">И в День защитника он нужен &ndash; аккуратен, отутюжен,</span></li><li><span style=""font-size: medium;"">Чтоб поздравить с мамой вместе папочку военной песней!</span></li></ul><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p></p><p><span style=""font-size: medium;""><span><br /></span></span></p>";"8009.jpg, 8009-1.jpg";;
