Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Новинка;"Яндекс маркет";Бренд;Вариант;Св-во1;Цвет;Рейтинг;Голосов;Просмотров;"Старая цена";Артикул;Склад;"Ед-ца измерения";Валюта;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вес (кг)";"Объем (куб.м.)"
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Военный для девочки";1880.00;voennyj-dlya-devochki;1;;;;Вестифика;152-158;;;0.0;1;0;;108003;;;2;"Костюм Военный для девочки | карнавальные костюмы для детей";"Купить костюм Военный для девочки, Вестифика, Для девочек, Униформа";"Гимнастерка, пилотка, пояс, юбка";;"<p><span style=""font-size: medium;"">Состав: Гимнастерка, пилотка, ремень, юбка.</span><br /><span style=""font-size: medium;"">Ткань: Бязь(100% хлопок).</span></p>";383a0278-3.jpg;;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма# Распродажа";"Костюм солдата детский";1550.00;kostyum-soldata-detskij;1;;;;Масочка;130-140;;;1.0;1;0;1870.00;ПР-1215;;;2;"Карнавальный Костюм солдата детский";"Купить Костюм солдата детский, Алла, Униформа";"В костюм военного входит головной убор, китель, штаны и имитация обуви. Материалы: трикотаж.";;"<ul><li><span style=""font-size: 13px;"">В костюм&nbsp;</span>военного<span style=""font-size: 13px;"">&nbsp;входит головной убор, китель, штаны и имитация обуви.</span></li><li><span style=""font-size: 13px;"">Материалы: трикотаж.</span></li></ul>";"voen-alla1.jpg, voen-alla2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";Матрос;2390.00;matros108013;1;;;;Вестифика;104-110;;;0.0;0;0;;108033;;;2;"Костюм Матроса купить для мальчика | карнавальные костюмы для детей";"Костюм Матроса купить, Костюм моряка, Для мальчиков";"Состав: Матросская рубашка из тиси с гюйсом из крепсатина, Брюки-клеш из габардина, Бескозырка из тиси, Ремень с пряжкой";;"<p><span style=""font-size: medium;"">Состав: Матросская рубашка из тиси с гюйсом из крепсатина</span><br /><span style=""font-size: medium;"">Брюки-клеш из габардина</span><br /><span style=""font-size: medium;"">Бескозырка из тиси&nbsp;</span><br /><span style=""font-size: medium;"">Ремень с пряжкой</span></p>";"108013.jpg, 108013-1.jpg, 108013-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";Матрос;2390.00;matros108013;1;;;;Вестифика;116-122;;;0.0;0;0;;108033;;;2;"Костюм Матроса купить для мальчика | карнавальные костюмы для детей";"Костюм Матроса купить, Костюм моряка, Для мальчиков";"Состав: Матросская рубашка из тиси с гюйсом из крепсатина, Брюки-клеш из габардина, Бескозырка из тиси, Ремень с пряжкой";;"<p><span style=""font-size: medium;"">Состав: Матросская рубашка из тиси с гюйсом из крепсатина</span><br /><span style=""font-size: medium;"">Брюки-клеш из габардина</span><br /><span style=""font-size: medium;"">Бескозырка из тиси&nbsp;</span><br /><span style=""font-size: medium;"">Ремень с пряжкой</span></p>";"108013.jpg, 108013-1.jpg, 108013-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";Матрос;2390.00;matros108013;1;;;;Вестифика;128-134;;;0.0;0;0;;108033;;;2;"Костюм Матроса купить для мальчика | карнавальные костюмы для детей";"Костюм Матроса купить, Костюм моряка, Для мальчиков";"Состав: Матросская рубашка из тиси с гюйсом из крепсатина, Брюки-клеш из габардина, Бескозырка из тиси, Ремень с пряжкой";;"<p><span style=""font-size: medium;"">Состав: Матросская рубашка из тиси с гюйсом из крепсатина</span><br /><span style=""font-size: medium;"">Брюки-клеш из габардина</span><br /><span style=""font-size: medium;"">Бескозырка из тиси&nbsp;</span><br /><span style=""font-size: medium;"">Ремень с пряжкой</span></p>";"108013.jpg, 108013-1.jpg, 108013-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";Матрос;2390.00;matros108013;1;;;;Вестифика;140-146;;;0.0;0;0;;108033;;;2;"Костюм Матроса купить для мальчика | карнавальные костюмы для детей";"Костюм Матроса купить, Костюм моряка, Для мальчиков";"Состав: Матросская рубашка из тиси с гюйсом из крепсатина, Брюки-клеш из габардина, Бескозырка из тиси, Ремень с пряжкой";;"<p><span style=""font-size: medium;"">Состав: Матросская рубашка из тиси с гюйсом из крепсатина</span><br /><span style=""font-size: medium;"">Брюки-клеш из габардина</span><br /><span style=""font-size: medium;"">Бескозырка из тиси&nbsp;</span><br /><span style=""font-size: medium;"">Ремень с пряжкой</span></p>";"108013.jpg, 108013-1.jpg, 108013-2.jpg";;
"Костюмы для детей/Профессии/Для мальчиков# Костюмы для детей/Униформа# Военная форма";Матрос;2390.00;matros108013;1;;;;Вестифика;152-158;;;0.0;0;0;;108033;;;2;"Костюм Матроса купить для мальчика | карнавальные костюмы для детей";"Костюм Матроса купить, Костюм моряка, Для мальчиков";"Состав: Матросская рубашка из тиси с гюйсом из крепсатина, Брюки-клеш из габардина, Бескозырка из тиси, Ремень с пряжкой";;"<p><span style=""font-size: medium;"">Состав: Матросская рубашка из тиси с гюйсом из крепсатина</span><br /><span style=""font-size: medium;"">Брюки-клеш из габардина</span><br /><span style=""font-size: medium;"">Бескозырка из тиси&nbsp;</span><br /><span style=""font-size: medium;"">Ремень с пряжкой</span></p>";"108013.jpg, 108013-1.jpg, 108013-2.jpg";;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Гимнастерка детская";1620.00;gimnasterka-detskaya;1;;;;Вестифика;104-110;;;0.0;0;0;;108001;;;2;"Гимнастерка детская купить с доставкой";"Купить Гимнастерку детскую, Вестифика, Для девочек";"Гимнастерка из бязи, пилотка с металлической звездой, пояс.";;"<ul><li><span style=""font-size: medium;"">Гимнастерка из бязи,&nbsp;пилотка с металлической звездой,&nbsp;пояс.</span></li></ul>";108001-1.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Гимнастерка детская";1620.00;gimnasterka-detskaya;1;;;;Вестифика;116-122;;;0.0;0;0;;108001;;;2;"Гимнастерка детская купить с доставкой";"Купить Гимнастерку детскую, Вестифика, Для девочек";"Гимнастерка из бязи, пилотка с металлической звездой, пояс.";;"<ul><li><span style=""font-size: medium;"">Гимнастерка из бязи,&nbsp;пилотка с металлической звездой,&nbsp;пояс.</span></li></ul>";108001-1.jpg;;
"Костюмы для детей/Профессии/Для девочек# Костюмы для детей/Униформа# Военная форма";"Гимнастерка детская";1620.00;gimnasterka-detskaya;1;;;;Вестифика;128-134;;;0.0;0;0;;108001;;;2;"Гимнастерка детская купить с доставкой";"Купить Гимнастерку детскую, Вестифика, Для девочек";"Гимнастерка из бязи, пилотка с металлической звездой, пояс.";;"<ul><li><span style=""font-size: medium;"">Гимнастерка из бязи,&nbsp;пилотка с металлической звездой,&nbsp;пояс.</span></li></ul>";108001-1.jpg;;
